NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
TUNJ SALATA DALMATINA 160g EVA,90320977,EVA,0.16 kg,ko,5.39,33.69,,,5.39,3856020217617,HRANA
TUNJ SALATA MEXICANA 160g EVA,90320980,EVA,0.16 kg,ko,5.39,33.69,,,5.39,3856020218126,HRANA
TUNJ SALATA KUS KUS 160g EVA,90320986,EVA,0.16 kg,ko,5.39,33.69,,,5.39,3856020217730,HRANA
KEKS OREO DOUBLE 157g,90321322,OREO,0.16 kg,ko,2.75,17.52,,,2.75,7622210148483,HRANA
ŠUNKA DALMAT SUHA NAR 100g MAP PIVAC,90325041,PIVAC,0.10 kg,ko,4.19,41.9,,,4.19,3858890183917,HRANA
NAPITAK HIDRA ISO 0.5L,90325312,HIDRA,0.50 l,ko,1.65,3.3,,,1.55,3850131005118,PIĆE
GRISSINI SEZAM 125g AMOR DI PANE,90325467,AMOR DI PANE,0.13 kg,ko,1.59,12.72,,,1.59,8005803010661,HRANA
GRISSINI CLASSIC 125g AMOR DI PANE,90325478,AMOR DI PANE,0.13 kg,ko,1.59,12.72,,,1.59,8005803010357,HRANA
KOKOSOVA VODA 0.32L LIM,90330549,COCONAUT WATER,0.32 l,ko,2.85,8.91,,,2.85,8936020052533,PIĆE
PIVO STELLA ARTOIS 4PACK LIM 0.5L,90330621,STELLA ARTOIS,2.00 l,ko,7.99,4,,,7.69,3850131483374,PIĆE
GIN BEEFEATER PINK 0.7l,90330864,BEEFEATER,0.75 l,ko,27.49,36.65,,,26.99,5000299605950,PIĆE
PUREĆA KRILA CIJELA  DP VINDIJA cca 1750g,90331477,VINDON,1.00 kg,kg,2.49,2.49,,,2.49,3850339405024,HRANA
PUREĆI BATAK DP VINDIJA cca 1800g,90331502,VINDON,1.00 kg,kg,5.39,5.39,,,5.39,3850339404027,HRANA
MASLAC 250g DEUTSCHE MARKENBUT,90331882,DEUTSCHE MARKENBUTTER,0.25 kg,ko,2.99,11.96,,,2.99,4033854001677,HRANA
ČETKICA CURAPROX CS 1560 SOFT,90332145,CURAPROX,1.00 ko,ko,7.49,7.49,,,7.49,7612412156003,KOZMETIKA
PIVO HEINEKEN ZERO LIMENKA 0.33L,90334663,HEINEKEN,0.33 l,ko,1.69,5.12,,,1.69,3830054841802,PIĆE
PUREĆI ODRESCI OD FILEA PRSA 400g VINDIJA,90334866,VINDON,0.40 kg,ko,8.09,20.23,,,8.09,3850339402139,HRANA
KAŠICA FRUTEK MARELICA ŽITARICE 100g,90335479,FRUTEK,0.10 kg,ko,1.65,16.5,,,1.65,3838945035026,HRANA
KRUH SA SJEMENKAMA 410g MLINAR,90339890,MLINAR,0.41 kg,ko,2.29,5.59,,,2.19,3858889890567,HRANA
GEL TUŠ L'ANGELICA PAMUK 500ml,90341608,L ANGELICA,0.50 l,ko,4.09,8.18,,,4.09,8017331077061,KOZMETIKA
GEL TUŠ L'ANGELICA MAKAD 500ml,90341617,L ANGELICA,0.50 l,ko,4.09,8.18,,,4.09,8017331077085,KOZMETIKA
