NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Ritter Sport SK17,0006343,0.1,100g,Ritter,2.39,,,23.9,4000417214003,Hrana,"1,79"
Ritter Sport SK17,0006343,0.1,100g,Ritter,2.39,,,23.9,4000417920003,Hrana,"1,79"
Šunka narezak,0006391,0.1,100g,Pikok,1.09,,,10.9,20491857,Hrana,"0,99"
Hren SK2,0006427,0.189,"185g,190g",Kania,1.19,,,6.26,20359492,Hrana,"1,19"
"Svježa pileæa leða, cca. 750g",0006457,1,ca. 750g,Naša mesnica,1.69,,,1.69,2852036000000,Hrana,"1,69"
"Svježa pileæa leða, cca. 750g",0006457,1,ca. 750g,Naša mesnica,1.69,,,1.69,2891130000000,Hrana,"1,69"
"Svježa pileæa leða, cca. 750g",0006457,1,ca. 750g,Naša mesnica,1.69,,,1.69,2891137000000,Hrana,"1,69"
"Svježa pileæa leða, cca. 750g",0006457,1,ca. 750g,Naša mesnica,1.69,,,1.69,2891138000000,Hrana,"1,69"
Danone Actimel BA 4x100g,0006461,0.4,4x100g,Danone,1.59,,,3.98,5997536112558,Hrana,"1,59"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2136961000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2852052000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2852053000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2852059000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2864880000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2891143000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2891145000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,2891148000000,Hrana,"5,89"
"Svježa pileæa prsa, bk sk, cca 500g",0006488,1,ca. 500g,Naša mesnica,5.99,,,5.99,3858890930849,Hrana,"5,89"
