NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
o.b. Tamponi SK1,0099299,0.052,"54komad,64komad",,4.29,,,0.08,3574661301563,Toaletne potrepštine,"4,29"
o.b. Tamponi SK1,0099299,0.052,"54komad,64komad",,4.29,,,0.07,3574661301563,Toaletne potrepštine,"4,29"
o.b. Tamponi SK1,0099299,0.052,"54komad,64komad",,4.29,,,0.08,3574661322629,Toaletne potrepštine,"4,29"
o.b. Tamponi SK1,0099299,0.052,"54komad,64komad",,4.29,,,0.07,3574661322667,Toaletne potrepštine,"4,29"
Višekratna vreæica,0099430,0.175,1komad,-,1.19,,,1.19,4056489506997,Proizvodi za kuæanstvo,"1,19"
Kiseli krastavci narezani,0105014,0.67,720ml,MCENNEDY,1.49,,,3.73,4056489157045,Hrana,"1,49"
Kuhana šunka XXL,0105639,0.25,250g,Dulano,2.55,,,10.2,4056489604563,Hrana,"3,19"
BO Žemljica s orasima ,0106640,0.09,86g,,0.49,,,5.7,20603083,Hrana,"0,59"
Predjela na talijanski naèin SK16,0107005,0.288,"285g,300g",Italiamo,2.49,,,8.74,20488833,Hrana,Nije_bilo_u_prodaji_02.05.2025
Milkshake SK4,0108408,0.243,230ml,MCENNEDY,0.99,,,4.3,20573157,Hrana,"0,99"
Premium Sol u mlincu SK11,0108674,0.153,"180g,70g",Deluxe,3.59,,,19.94,4056489864448,Hrana,"3,89"
Maslac za usne SK10,0112665,0.008,"3,3ml",Cien,2.49,,,2.49,20009571,Kozmetika,"2,49"
Maslac za usne SK10,0112665,0.008,"3,3ml",Cien,2.49,,,2.49,20668921,Kozmetika,"2,49"
Maslac za usne SK10,0112665,0.008,"3,3ml",Cien,2.49,,,2.49,20955106,Kozmetika,"2,49"
Maslac za usne SK10,0112665,0.008,"3,3ml",Cien,2.49,,,2.49,20955113,Kozmetika,"2,49"
Hrskave žitne pahuljice,0112697,0.5,500g,Crownfield,2.69,,,5.38,20641627,Hrana,"2,69"
Duca di Sasseta Serp. Toscana Rosso,0112798,0.75,"0,75l",,5.31,,,7.08,8009307072378,Piæe,"5,31"
"MSC Riblji štapiæi, 18 komada",0112834,0.45,450g,Ocean Sea,2.99,,,6.64,20703431,Hrana,"2,99"
Monteravy Mlij.-lješnjak dessert,0113269,0.36,6x60g,Pilos,1.69,,,4.69,20622473,Hrana,"1,49"
MSC Tuna  Steak (Yellowfin),0115093,0.25,250g,Grillmeister,4.65,,,18.6,20692186,Hrana,"5,59"
ASC Dimljena pastrva SK1,0116232,0.125,125g,Nautica,3.59,,,28.72,4056489417927,Hrana,"2,99"
Amidala,0118806,0.15,150g,J.D. Gross,2.99,,,19.93,20707361,Hrana,"2,99"
Turska gotova jela SK6,0119102,0.461,"275g,540g",1001 delights,3.29,,,6.09,20793210,Hrana,"3,29"
Humus SK44,0119131,0.2,200g,Vitasia,1.09,,,5.45,4056489436676,Hrana,"1,39"
Bulgur Salata SK5,0119137,0.213,"200g,250g",Chef Select,1.89,,,9.45,20757830,Hrana,"1,79"
Bulgur Salata SK5,0119137,0.213,"200g,250g",Chef Select,1.89,,,9.45,20757861,Hrana,"1,79"
Bulgur Salata SK5,0119137,0.213,"200g,250g",Chef Select,1.89,,,7.56,20757861,Hrana,"1,79"
Bio kokosovo ulje,0119280,0.46,500ml,Vita D'or,3.69,,,7.38,4056489495604,Hrana,"4,99"
Zeleni èaj UTZ SK21,0119798,0.044,"25x1,75g",Lord Nelson,1.59,,,1.59,20097028,Piæe,"1,29"
Zeleni èaj UTZ SK21,0119798,0.044,"25x1,75g",Lord Nelson,1.59,,,1.59,4056489440215,Piæe,"1,29"
Pileæi medaljoni bez glutena,0119872,0.3,300g,Culinea,3.99,,,13.3,20763589,Hrana,"3,49"
Tekuæi jogurt  SK8,0122949,0.85,850g,Milbona,1.89,,,2.22,4304493270510,Hrana,"1,89"
Kokosovo mlijeko SK1,0124068,0.4,425ml,Freshona,1.59,,,3.74,20103644,Hrana,"1,59"
Mješavina za kolaèe bez glutena SK1,0124109,0.475,"420g,530g",Belbake,2.49,,,4.7,20817237,Hrana,"2,19"
Bio brašno od pira SK2,0124364,1,1kg,Belbake,2.19,,,2.19,20840075,Hrana,"2,19"
Orahnjaèa,0127582,0.3,295g,,2.19,,,7.42,20903497,Hrana,"2,19"
"ASC Velike bijele kozice, OM 450g",0127765,0.5,500g,Ocean Sea,7.99,,,17.76,4056489376101,Hrana,"9,42"
Krema za ruke Tradition SK5,0128286,0.03,30ml,Cien,1.29,,,1.29,4335619069312,Kozmetika,"1,29"
Glossy Gel Lak za nokte SK18,0128299,0.011,11ml,Cien Beauty,1.15,,,1.15,20979126,Kozmetika,"1,15"
Glossy Gel Lak za nokte SK18,0128299,0.011,11ml,Cien Beauty,1.15,,,1.15,4056489269830,Kozmetika,"1,15"
Glossy Gel Lak za nokte SK18,0128299,0.011,11ml,Cien Beauty,1.15,,,1.15,4056489751465,Kozmetika,"1,15"
Debreciner kobasice SK3,0128388,0.28,280g,Alpenfest,2.35,,,8.39,4056489864240,Hrana,"2,99"
"Mesne okruglice na grèki naèin, SK1",0128492,0.28,280g,Eridanous,2.39,,,8.54,20871772,Hrana,"2,39"
Bio integralni hrskavi kruh SK1,0128524,0.2,200g,Tastino,2.39,,,11.95,20918279,Hrana,"2,39"
Choco duo namaz XXL,0128542,1,1000g,Mister Choc,3.69,,,3.69,20918347,Hrana,"3,69"
Meki kravlji sir XXL,0128665,0.4,400g,Milbona,3.49,,,8.73,4056489737452,Hrana,"3,19"
Grandioso puding SK7,0128681,0.175,175g,Milbona,0.79,,,4.51,4056489656197,Hrana,"0,69"
Grandioso puding SK7,0128681,0.175,175g,Milbona,0.79,,,4.51,4056489665212,Hrana,"0,69"
Veganska pizza SK1,0129141,0.37,"350g,390g",Vemondo,1.99,,,5.69,20864842,Hrana,"1,59"
Veganska pizza SK1,0129141,0.37,"350g,390g",Vemondo,1.99,,,5.1,20936549,Hrana,"1,59"
"Bio kašica tjest., šunka i povræe",0131995,0.22,220g,Lupilu,1.09,,,4.95,20995911,Hrana,"1,09"
Sol za posipanje,0132497,10,10kg,,3.32,,,3.32,4001475452109,Proizvodi za kuæanstvo,"3,32"
"Svinjski kare, cca. 1100-1800g",0132526,1,ca.1100-1800g,,2.99,,,2.99,2865373000000,Hrana,"4,75"
"Svinjski kare, cca. 1100-1800g",0132526,1,ca.1100-1800g,,2.99,,,2.99,2865374000000,Hrana,"4,75"
"Svinjski kare, cca. 1100-1800g",0132526,1,ca.1100-1800g,,2.99,,,2.99,2865378000000,Hrana,"4,75"
"Svinjski kare, cca. 1100-1800g",0132526,1,ca.1100-1800g,,2.99,,,2.99,2865379000000,Hrana,"4,75"
"Svinjski vrat bk, cca.600-1600g",0132527,1,cca.600-1600g,,4.15,,,4.15,2865351000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Svinjski vrat bk, cca.600-1600g",0132527,1,cca.600-1600g,,4.15,,,4.15,2865358000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
"Svinjski vrat bk, cca.600-1600g",0132527,1,cca.600-1600g,,4.15,,,4.15,2865359000000,Hrana,Nije_bilo_u_prodaji_02.05.2025
Konac za zube SK15,0132609,0.028,1komad,Dentalux,1.85,,,1.85,20524913,Kozmetika,"1,85"
Kolutiæi od kozica Sweet-Chili umak,0132723,0.3,300g,Deluxe,5.69,,,18.97,40876085,Hrana,"5,39"
Hairvital Regenerator za kosu SK5,0133014,0.248,250ml,Cien,1.49,,,5.96,4056489152781,Kozmetika,"1,49"
Losion za bebe,0135360,0.491,500ml,Lupilu,2.65,,,5.3,4056489241867,Kozmetika,"2,65"
Punjeni voæni bomboni SK1,0135488,0.3,300g,Sweet Corner,,1.25,1.79,4.17,20669317,Hrana,"1,79"
Tablete za strojno pranje posuða,0135958,0.9,60x15g,W5,5.29,,,5.88,4056489570707,Sredstva za èišæenje,"5,29"
Tekuæi det. za pr. rublja SK1 27pr.,0136086,1.53,"1,485l",Formil,3.85,,,0.14,40893327,Sredstva za èišæenje,"3,85"
"Pinot Noir rosé 12,5%",0136438,0.75,"0,75l",,3.99,,,5.32,4056489972389,Piæe,"3,99"
Chardonnay Navarra,0136997,0.75,"0,75l",Mezquiriz,3.79,,,5.05,20089559,Piæe,"2,79"
Žvakaæe gume SK1,0137289,0.098,98g,Jetgum,1.49,,,15.2,20091859,Hrana,"1,49"
"Krpe za èišæenje 5 kom, 35x35 cm",0139643,0.172,5komad,W5 ,3.29,,,0.66,20196172,Proizvodi za kuæanstvo,"3,29"
Sok od koncentrata limuna 100% SK2 ,0139917,0.207,200ml,Solevita,0.55,,,2.75,4304493266292,Piæe,"0,69"
Gumeni medvjediæi,0140136,0.3,300g,Sweet Corner,1.79,,,5.97,20248864,Hrana,"1,79"
Tuna,0140702,0.39,2x195g,Nixe,4.19,,,10.74,20275457,Hrana,"3,39"
Èokoladne bubamare SK1,0141033,0.1,100g,Favorina,2.29,,,22.9,20304485,Hrana,"2,29"
Papirnate slamke,0141123,0.026,25komad,Grillmeister,0.59,,,0.02,4056489798149,Proizvodi za kuæanstvo,"0,59"
Pure Taste Suha hrana za maèke SK1 ,0141827,0.4,400g,Coshida Pure Taste,1.99,,,4.98,4056489017110,Proizvodi za kuæanstvo,"1,99"
Mlj. èok. s raznim punjenjem SK1,0144007,0.299,"295g,300g",Fin Carré,4.49,,,15.22,4056489030010,Hrana,"4,49"
Mlj. èok. s raznim punjenjem SK1,0144007,0.299,"295g,300g",Fin Carré,4.49,,,14.97,4056489030041,Hrana,"4,49"
Razlièiti deserti SK10,0144346,0.5,500g,Deluxe,3.79,,,7.58,4056489102670,Hrana,"3,79"
Nürnberška kobasica XXL,0144510,1,1000g,Dulano,8.59,,,8.59,4056489033127,Hrana,"8,59"
Kobasica,0144882,1.4,1400g,Alpenfest,8.79,,,6.28,4056489035329,Hrana,Nije_bilo_u_prodaji_02.05.2025
Södergarden miješani namaz,0145928,0.25,250g,Milbona,2.79,,,11.16,4056489096481,Hrana,"2,99"
Södergarden miješani namaz,0145928,0.25,250g,Milbona,2.79,,,11.16,4056489844419,Hrana,"2,99"
Way to go mlij. èok. 32% kar. i sol,0148380,0.18,180g,Fin Carré,3.99,,,22.17,4056489156208,Hrana,"3,49"
"Meksiko pivo 4,5%",0148467,0.332,"0,33l",Camaro,1.19,,,3.61,4304493264946,Piæe,"0,99"
Kokosovo brašno,0148486,0.25,250g,Belbake,2.49,,,9.96,4056489104254,Hrana,"1,19"
Toffee & Nuts,0148651,0.125,125g,Mister Choc,1.99,,,15.92,20243135,Hrana,"1,99"
Hrana za pse 400g SK8,0149298,0.4,400g,Orlando Pure Taste,1.55,,,3.88,4335619165601,Proizvodi za kuæanstvo,Nije_bilo_u_prodaji_02.05.2025
"Salama goveða, per., dimljena SK1",0149371,0.115,"100g,130g",Dulano,2.39,,,18.38,4056489182627,Hrana,"1,99"
Apotheker Alkoholna piæa 40% SK1,0149611,0.485,"0,5l",,6.29,,,12.58,4056489186762,Piæe,"6,29"
Apotheker Alkoholna piæa 40% SK1,0149611,0.485,"0,5l",,6.29,,,12.58,4304493267213,Piæe,"6,29"
Èokolada bez dodanog šeæera SK1,0149698,0.1,100g,Fin Carré,2.59,,,25.9,4056489189237,Hrana,"2,59"
Mini pizza SK1,0150165,0.222,"212g,232g",Trattoria Alfredo,2.69,,,1.16,4056489176411,Hrana,"2,49"
Amerièki desert SK1,0150211,0.165,"2x80g,2x85g",MCENNEDY,1.79,,,10.53,4056489201779,Hrana,"1,79"
"Orašasti plodovi, kandirani SK3",0150218,0.2,200g,Alpenfest,2.29,,,11.45,4056489201809,Hrana,"2,19"
Veg. pljeskav. za Burger,0150574,0.227,227g,Vemondo,2.99,,,13.17,4056489208136,Hrana,"2,99"
High protein jogurt SK4,0150828,0.2,200g,Milbona,0.99,,,4.95,4056489258377,Hrana,"0,99"
Protein Quark SK1,0150835,0.2,200g,Pilos,1.29,,,6.45,4056489216216,Hrana,"1,29"
Hrana za maèke,0154444,1.02,12x85g,Coshida,6.79,,,6.66,4056489275954,Proizvodi za kuæanstvo,"6,79"
Zaèini SK1,0154517,0.127,"100g,120g,140g,130g",Kania,1.69,,,12.07,4056489279419,Hrana,"1,69"
Zaèini SK1,0154517,0.127,"100g,120g,140g,130g",Kania,1.69,,,14.08,4056489279426,Hrana,"1,69"
Zaèini SK1,0154517,0.127,"100g,120g,140g,130g",Kania,1.69,,,16.9,4056489279433,Hrana,"1,69"
Zaèini SK1,0154517,0.127,"100g,120g,140g,130g",Kania,1.69,,,14.08,4056489279433,Hrana,"1,69"
Zaèini SK1,0154517,0.127,"100g,120g,140g,130g",Kania,1.69,,,12.07,4056489279433,Hrana,"1,69"
Zaèini SK1,0154517,0.127,"100g,120g,140g,130g",Kania,1.69,,,16.9,4056489279464,Hrana,"1,69"
Zaèini SK1,0154517,0.127,"100g,120g,140g,130g",Kania,1.69,,,12.07,4056489279464,Hrana,"1,69"
Cheesecake slana karamela,0154525,0.475,475g,MCENNEDY,3.19,,,6.72,4056489236269,Hrana,"3,19"
Vreæe za smeæe,0154982,0.32,40komad,Purio,1.29,,,0.03,4056489643708,Proizvodi za kuæanstvo,"1,29"
Maramice za skupljanje boje,0155675,0.034,24komad,Formil,2.19,,,0.09,4056489714460,Proizvodi za kuæanstvo,"2,19"
Barista Espresso zrno RFA,0155851,1,1kg,Bellarom,18.99,,,18.99,4056489817758,Piæe,"14,99"
Kuhano vino borovnica  9% vol.,0156226,1,1l,-,2.99,,,2.99,4046944084443,Piæe,"1,99"
Domino kocke,0156529,0.25,250g,Favorina,2.69,,,10.76,4056489320890,Hrana,"2,79"
Èips SK3,0156667,0.125,125g,Italiamo,1.49,,,11.92,4056489421252,Hrana,"1,2"
Sredstvo za èišæenje sa spužvom SK1,0156905,0.425,"300g,400g,500g",W5,2.39,,,0.6,4056489322849,Sredstva za èišæenje,"2,39"
Sredstvo za èišæenje sa spužvom SK1,0156905,0.425,"300g,400g,500g",W5,2.39,,,0.6,4056489322856,Sredstva za èišæenje,"2,39"
Cookie Dough SK3,0157167,0.06,60g,MCENNEDY,1.19,,,19.83,4056489406310,Hrana,"0,93"
WC Osvježivaè 2x48g SK10,0157484,0.096,2x48g,W5,1.55,,,16.15,4056489186847,Sredstva za èišæenje,"1,45"
Hrana za maèke SK1,0157510,0.07,70g,Coshida,1.19,,,17,4056489330394,Proizvodi za kuæanstvo,Nije_bilo_u_prodaji_02.05.2025
Hrana za pse SK1,0157519,0.415,415g,Orlando,0.99,,,2.39,4056489330455,Proizvodi za kuæanstvo,"0,99"
Deterdžent za pranje rublja SK1,0157797,5.4,5l,Formil,10.99,,,0.11,4056489336150,Sredstva za èišæenje,"8,59"
Božiæne šeæerne dekoracije SK5,0158076,0.01,10g,Belbake,4.99,,,499,4056489150442,Hrana,"4,99"
Božiæne šeæerne dekoracije SK5,0158076,0.01,10g,Belbake,4.99,,,499,4056489344933,Hrana,"4,99"
Nature Gel za tuširanje SK1,0158147,0.26,250ml,Cien Nature,1.79,,,7.16,4056489329732,Kozmetika,"1,79"
Nature Gel za tuširanje SK1,0158147,0.26,250ml,Cien Nature,1.79,,,7.16,4056489672593,Kozmetika,"1,79"
Tjestenina SK1,0162218,0.5,500g,Deluxe,2.69,,,5.38,4056489291862,Hrana,"2,69"
Spužvice,0163079,0.075,30komad,W5,1.99,,,0.07,4056489443582,Proizvodi za kuæanstvo,"1,99"
Jednokratna britvica,0163333,0.057,10komad,Cien MEN,1.59,,,0.16,4056489450207,Kozmetika,"1,59"
TK Falafel SK1 ,0163501,0.3,300g,Vemondo,2.59,,,8.63,4056489451754,Hrana,"2,59"
Grèki namaz SK1,0163776,0.125,125g,Eridanous,1.99,,,15.92,4056489453055,Hrana,"1,99"
Kompletna hrana za maèke SK20,0164210,0.415,415g,Coshida,0.89,,,2.14,20103156,Proizvodi za kuæanstvo,"0,89"
Soja jogurt SK5,0165197,0.5,500g,Vemondo,1.99,,,3.98,4056489466628,Hrana,Nije_bilo_u_prodaji_02.05.2025
Šunka s medom ili hrenom SK4,5007111,0.15,150g,Deluxe,2.05,,,13.67,4056489246374,Hrana,"2,09"
Knedle sa sviježim sirom SK1,5008681,0.41,410g,Alpenfest,2.79,,,6.8,4056489117667,Hrana,"2,79"
Bio Kefir,5009325,0.5,500g,Milbona,1.29,,,2.58,4056489861553,Hrana,"1,29"
L.Casei Active Drink SK1,5010625,0.4,4x100g,Milbona,1.35,,,3.38,4056489630937,Hrana,"1,35"
Senf Estragon,5010805,0.33,330g,Kania,1.49,,,4.52,4056489810124,Hrana,"1,49"
High Protein kefir s voæem SK1,5011912,0.35,350g,Milbona,1.69,,,4.83,4335619038387,Hrana,"1,59"
"Kefir 1,5% masti s voænim sokom SK1",5011937,0.6,6x100g,Milbona,1.99,,,3.32,4335619038073,Hrana,"1,99"
Kobasice SK1,5012498,0.18,180g,Deluxe,2.29,,,12.72,4335619223486,Hrana,"2,47"
Fondue sir,5104979,0.4,400g,Let's have a party!,3.19,,,7.98,4056489078173,Hrana,"2,45"
Proteinski sir mozzarella SK1,5110136,0.215,"280g,150g",Milbona,2.49,,,16.6,4056489778998,Hrana,"2,29"
Sir Cheddar Mature XXL,5200583,1,1000g,Milbona,11.99,,,11.99,20447052,Hrana,"11,99"
Sirevi SK1,5200709,0.14,140g,Hatherwood,2.99,,,21.36,4056489335825,Hrana,"2,99"
Stilton sir s plijesni,5200759,0.22,220g,Hatherwood,2.85,,,12.95,20377373,Hrana,"2,85"
Carski sir u listiæima SK1,5502819,0.15,150g,Pilos,1.79,,,11.93,20265779,Hrana,"1,79"
Topljeni sir rolice SK1,5503088,0.1,100g,Pilos,0.79,,,7.9,20394158,Hrana,"0,79"
"Keksi za doruèak SK2, RFA",5503313,0.3,300g,Tastino,2.19,,,7.3,20690281,Hrana,"2,19"
"Keksi za doruèak SK2, RFA",5503313,0.3,300g,Tastino,2.19,,,7.3,4056489119388,Hrana,"2,19"
Mini salame XXL SK1,5505447,0.15,150g,Pikok,1.69,,,11.27,20762674,Hrana,"1,69"
Mini salame XXL SK1,5505447,0.15,150g,Pikok,1.69,,,11.27,20762704,Hrana,"1,69"
Energy drink SK6,5506805,0.26,"0,25l",Kong Strong,0.69,,,2.76,4304493258068,Piæe,"0,69"
Energy drink SK6,5506805,0.26,"0,25l",Kong Strong,0.69,,,2.76,4304493258082,Piæe,"0,69"
Osvježivaè zraka SK4,5507867,0.425,425g,W5,1.69,,,3.98,20931582,Sredstva za èišæenje,"1,69"
Osvježivaè zraka SK4,5507867,0.425,425g,W5,1.69,,,3.98,4335619188969,Sredstva za èišæenje,"1,69"
Osvježivaè zraka SK4,5507867,0.425,425g,W5,1.69,,,3.98,4335619188976,Sredstva za èišæenje,"1,69"
Osvježivaè zraka SK2,5513706,0.075,75ml,W5,3.58,,,47.73,20012601,Sredstva za èišæenje,Nije_bilo_u_prodaji_02.05.2025
Tekuæi sapun SK1,5514501,1.05,1l,Cien,1.59,,,1.59,4056489622543,Kozmetika,"1,59"
Uskršnja jaja u velikoj limenci,5515288,0.1,100g,Favorina,4.99,,,49.9,4056489120568,Hrana,"4,99"
Pašteta SK3,5516355,0.13,130g,Baroni,0.59,,,4.54,20063849,Hrana,"0,59"
"Šam., gel i kupka 3u1 SK6",5516395,0.515,500ml,Cien,1.69,,,3.38,20014322,Kozmetika,"1,69"
"Šam., gel i kupka 3u1 SK6",5516395,0.515,500ml,Cien,1.69,,,3.38,20014339,Kozmetika,"1,69"
Vlažne maramice za èišæenje SK3,5516867,0.439,"50komad,60komad",W5,1.59,,,0.03,20063306,Proizvodi za kuæanstvo,"1,49"
Vlažne maramice za èišæenje SK3,5516867,0.439,"50komad,60komad",W5,1.59,,,0.03,4056489261278,Proizvodi za kuæanstvo,"1,49"
Vlažne maramice za èišæenje SK3,5516867,0.439,"50komad,60komad",W5,1.59,,,0.03,4056489261292,Proizvodi za kuæanstvo,"1,49"
Kobasica za pse SK5,5517676,1,1000g,Orlando,1.79,,,1.79,20146481,Proizvodi za kuæanstvo,"1,49"
"Lak za nokte ""Valentinovo"" SK2",5518746,0.009,8ml,Cien,0.99,,,0.99,5901801641490,Kozmetika,"0,89"
"Lak za nokte ""Valentinovo"" SK2",5518746,0.009,8ml,Cien,0.99,,,0.99,5901801641605,Kozmetika,"0,89"
"Lak za nokte ""Valentinovo"" SK2",5518746,0.009,8ml,Cien,0.99,,,0.99,5901801652472,Kozmetika,"0,89"
"Lak za nokte ""Valentinovo"" SK2",5518746,0.009,8ml,Cien,0.99,,,0.99,5901801652540,Kozmetika,"0,89"
Mirisne luèice SK7 ,5519199,0.214,18komad,-,1.59,,,0.09,4056489535980,Proizvodi za kuæanstvo,"1,59"
Mirisne luèice SK7 ,5519199,0.214,18komad,-,1.59,,,0.09,4056489662129,Proizvodi za kuæanstvo,"1,59"
Mirisne luèice SK7 ,5519199,0.214,18komad,-,1.59,,,0.09,4335619141353,Proizvodi za kuæanstvo,"1,59"
Radler Limun Vol. 0%,5519353,0.5,"0,5l",Argus,0.79,,,1.58,4335619260832,Piæe,"0,75"
"Vreæe za smeæe s vezicom, 35L",5520164,0.152,15komad,Purio,0.89,,,0.06,20142988,Proizvodi za kuæanstvo,"0,89"
Sapun iz Provanse SK10,5603194,0.1,100g,Duc de Coeur,0.79,,,7.9,3511720115143,Kozmetika,"0,79"
Sapun iz Provanse SK10,5603194,0.1,100g,Duc de Coeur,0.79,,,7.9,4056489566281,Kozmetika,"0,79"
Sapun iz Provanse SK10,5603194,0.1,100g,Duc de Coeur,0.79,,,7.9,4056489762027,Kozmetika,"0,79"
Premium kandirani kesteni,5605043,0.18,180g,Deluxe,7.89,,,43.83,20840297,Hrana,"7,89"
Pita s lososom,5615915,0.4,400g,Duc de Coeur,2.69,,,6.73,20291020,Hrana,"2,69"
Ulje za tijelo i kosu SK1,5616512,0.045,50ml,Cien,4.99,,,99.8,4335619177369,Kozmetika,Nije_bilo_u_prodaji_02.05.2025
Rosette salama,5618643,0.15,150g,Duc de Coeur,1.99,,,13.27,4056489841968,Hrana,"1,99"
Madeleines kolaèiæi ,5619297,0.25,250g,Duc de Coeur,2.49,,,9.96,20396121,Hrana,"2,29"
Senf s medom,5620366,0.2,200g,Duc de Coeur,2.45,,,12.25,4335619017924,Hrana,Nije_bilo_u_prodaji_02.05.2025
Macarons SK2,5621896,0.154,154g,Duc de Coeur,3.7,,,24.03,4335619177321,Hrana,Nije_bilo_u_prodaji_02.05.2025
Krem jogurt SK6,5700343,0.135,135g,Sol&Mar,0.99,,,7.33,20705497,Hrana,"0,99"
Umak od gljiva sort. SK2,5709321,0.19,212ml,Deluxe,2.49,,,11.75,4056489121763,Hrana,"2,49"
Èaj u limenci SK5,5709383,0.05,50g,Deluxe,2.95,,,59,4056489122494,Piæe,"2,95"
Orašasti plodovi s mlij. èok. SK3,5713594,0.175,175g,Deluxe,4.49,,,25.66,4335619026971,Hrana,"2,89"
Parfem Elegance,5715016,0.085,100ml,Suddenly,5.99,,,59.9,4056489575344,Kozmetika,"5,99"
Mirisni štapiæi za prostor SK11,5717281,0.046,50ml,W5,1.69,,,33.8,4056489690276,Sredstva za èišæenje,"1,69"
Pistacije s èokoladom SK2,5718988,0.15,150g,Italiamo,3.29,,,21.93,4056489510680,Hrana,"3,79"
Proteinski smoothie SK3,5719617,0.35,330ml,Solevita,2.19,,,6.64,4335619208940,Hrana,Nije_bilo_u_prodaji_02.05.2025
Fuet SK1,5719775,0.15,150g,Deluxe,2.15,,,14.33,4335619074484,Hrana,"2,15"
Izbor ovèjih sireva,5719956,0.225,225g,Deluxe,6.69,,,29.73,4335619075726,Hrana,"7,19"
Premium gyoza SK 3,5719960,0.162,"170g,154g",Deluxe,3.39,,,22.01,4056489873129,Hrana,Nije_bilo_u_prodaji_02.05.2025
Serum za kosu,5720595,0.1,100ml,Cien,3.49,,,34.9,4335619108004,Kozmetika,"3,49"
Èoko-novèiæi (Božiæni),6008589,0.15,150g,Favorina,1.39,,,9.27,20084349,Hrana,"1,89"
Mascarpone 41% m.m.,6009177,0.25,250g,Milbona,2.49,,,9.96,4056489098591,Hrana,"2,39"
Marinirani fileti inæuna SK5,6009532,0.2,200g,Deluxe,2.79,,,13.95,20051525,Hrana,"2,79"
Min. voda negazirana - Sportski èep,6010820,0.75,"0,75l",Saguaro,0.75,,,1,4056489229674,Piæe,"0,65"
Bio napitak od badema bez šeæera,6011335,1.01,1l,Vemondo,1.39,,,1.39,4056489346357,Hrana,"1,39"
Šarena tjestenina s bož. motivima,6011540,0.5,500g,Combino,,1.25,1.59,2.5,4056489346258,Hrana,"1,19"
Fior di Cacao e Panna,6011969,0.35,350g,Italiamo,1.99,,,5.69,4056489347668,Hrana,"1,99"
Burrata sa gorgonzolom,6013259,0.1,100g,Deluxe,1.99,,,19.9,4056489523116,Hrana,"1,99"
Mini ravioli SK1,6013309,0.25,250g,Deluxe,1.69,,,6.76,4056489347194,Hrana,"1,69"
Majoneza s tartufom,6013364,0.18,180g,Deluxe,1.75,,,9.72,4056489523413,Hrana,"2,19"
Svježa tjestenina SK61,6013609,0.25,250g,Italiamo,1.79,,,7.16,20849863,Hrana,"1,79"
Dimljeni losos s pistacijom,6013670,0.1,100g,Deluxe,4.99,,,49.9,4056489524229,Hrana,"5,49"
Dim Sum SK1,6014262,0.2,200g,Vitasia,1.99,,,9.95,4056489631491,Hrana,"1,68"
Napitak na bazi zobi s kakaom,6014407,0.624,3x200ml,Vemondo,1.49,,,2.48,4056489632238,Hrana,Nije_bilo_u_prodaji_02.05.2025
Sendviè šunka-piletina i majon. SK4,6015030,0.14,140g,Chef Select,1.69,,,12.07,20162917,Hrana,Nije_bilo_u_prodaji_02.05.2025
Sendviè šunka-piletina i majon. SK4,6015030,0.14,140g,Chef Select,1.69,,,12.07,4056489163237,Hrana,Nije_bilo_u_prodaji_02.05.2025
Profiteroli s pistacijama,6015074,0.5,500g,Deluxe,5.99,,,11.98,4056489720744,Hrana,"5,99"
Tjestenina SK5,6016823,0.5,500g,Italiamo,1.19,,,2.38,20002510,Hrana,"1,99"
Ricotta high protein,6016871,0.25,250g,Milbona,1.39,,,5.56,4335619023390,Hrana,"1,79"
Svježa punjena tjesteina SK73,6017655,0.25,250g,Deluxe,1.69,,,6.76,4056489891314,Hrana,"1,69"
Girasoli s burratom,6018292,0.2,200g,Deluxe,2.14,,,10.7,4335619144613,Hrana,Nije_bilo_u_prodaji_02.05.2025
Motana pita s feta sirom,6200002,1,1000g,Eridanous,4.29,,,4.29,20095277,Hrana,"3,99"
Jastuèiæi punjeni s kobasicom,6200012,1,1000g,Chef Select,4.49,,,4.49,20107185,Hrana,"4,49"
Kokice s okusom maslaca,6402919,0.3,3x100g,Snack Day,1.39,,,4.63,20754747,Hrana,"1,39"
Goldenfood Sv. patka s iznutricama,6404499,1,ca.3 kg,,4.49,,,4.49,2838521000000,Hrana,"2,95"
Goldenfood Sv. patka s iznutricama,6404499,1,ca.3 kg,,4.49,,,4.49,2838523000000,Hrana,"2,95"
Goldenfood Sv. patka s iznutricama,6404499,1,ca.3 kg,,4.49,,,4.49,2838524000000,Hrana,"2,95"
Goldenfood Sv. patka s iznutricama,6404499,1,ca.3 kg,,4.49,,,4.49,2838527000000,Hrana,"2,95"
"Svježi pureæi file, 850g",6406797,0.85,850g,-,8.99,,,10.58,5995885819586,Hrana,"8,99"
