Naziv proizvoda;Sifra proizvoda;Marka proizvoda;Neto kolicina;Jedinica mjere;Maloprodajna cijena;Cijena po JM;MPC za vrijeme posebnog oblika prodaje;Najniza cijena u poslj. 30 dana;Sidrena cijena na 2.5.2025;Barkod;Kategorija proizvoda;
BILJNA MAST 500 G ZVIJEZDA;021102;ZVIJEZDA BILJNA MAST;0,500 KG;KOM;2,65;5,30;;;2,65;3858882210201;HRANA;
PASTETA OD TUNE 95 G ARGETA;021154;ATLANTIC ARGETA;0,095 KG;KOM;1,99;20,95;;;1,99;3838975567061;HRANA;
PASTETA KOKOSJA 95 G ARGETA;021159;ATLANTIC ARGETA;0,095 KG;KOM;1,49;15,68;;;1,39;3838975567009;HRANA;
PASTETA CAJNA 100 G PPK (430230);021192;PPK;0,100 KG;KOM;,69;6,90;;;,69;3858881615069;HRANA;
PASTETA PILECA 100 G PPK (430699);021193;PPK;0,100 KG;KOM;,69;6,90;;;,69;3858881617070;HRANA;
PASTETA JETRENA GUSTI 75 G  PPK;021194;GUSTI;0,075 KG;KOM;,49;6,53;;;,49;3858881613102;HRANA;
PASTETA CAJNA GUSTI 75 G PPK;021195;GUSTI;0,075 KG;KOM;,49;6,53;;;,49;3858881613119;HRANA;
PASTETA CAJNA 50 G GAVRILOVIC;021207;GAVRILOVIC;0,050 KG;KOM;1,09;21,80;;;1,09;3858881220096;HRANA;
PASTETA JETRENA 100 G PPK (430231);021251;PPK;0,100 KG;KOM;,69;6,90;;;,69;3858881617032;HRANA;
SIR SVJEZI ZRNATI KERNIGER 200 G STANIC;021291;BAYERNLAND;0,200 KG;KOM;2,25;11,25;;;2,39;4002174080945;HRANA;
MASLAC 250 G BAYERNLAND STANIC;021292;BAYERNLAND;0,250 KG;KOM;4,99;19,96;;;5,39;4002174000233;HRANA;
PASTETA CAJNA 100 G GAVRILOVIC (9000161);021306;GAVRILOVIC;0,100 KG;KOM;1,55;15,50;;;1,52;3858881221529;HRANA;
NAREZAK GOVEDJI 150 G GAVRILOVIC (9000178);021342;GAVRILOVIC;0,150 KG;KOM;3,29;21,93;;;3,29;3858881222533;HRANA;
POLI 500 G KOM PERUTNINA (15033);021350;PERUTNINA POLI;0,500 KG;KOM;;6,38;3,19;4,25;4,25;3850220153065;HRANA;
PASTETA JETRENA 100 G GAVRILOVIC  (9000165);021355;GAVRILOVIC;0,100 KG;KOM;1,55;15,50;;;1,52;3858881221543;HRANA;
PASTETA JETRENA 50 G GAVRILOVIC;021362;GAVRILOVIC;0,050 KG;KOM;1,09;21,80;;;1,09;3858881220072;HRANA;
PASTETA JETRENA 30 G GAVRILOVIC 180/1 (9000163);021363;GAVRILOVIC;0,030 KG;KOM;,85;28,33;;;,85;3858881220126;HRANA;
PASTETA CAJNA 30 G GAVRILOVIC (9000159);021364;GAVRILOVIC;0,030 KG;KOM;,85;28,33;;;,85;3858881220102;HRANA;
HASE OD SVINJETINE 200 G PODRAVKA;021379;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;1,99;9,95;;;2,49;3850104057380;HRANA;
MESNI NAREZAK 100 G PPK;021391;PPK;0,100 KG;KOM;,79;7,90;;;,79;3858881617056;HRANA;
TJESTENINA BUCATINI 500 G RISCOSSA;021421;RISCOSSA;0,500 KG;KOM;1,09;2,18;;;1,09;8011780000960;HRANA;
TJESTENINA PENNE ZITONI RIGATE 500 G RISCOSSA;021466;RISCOSSA;0,500 KG;KOM;1,19;2,38;;;1,19;8011780009253;HRANA;
TJESTENINA LUMACHINE 500 G RISCOSSA;021469;RISCOSSA;0,500 KG;KOM;1,19;2,38;;;1,19;8011780009390;HRANA;
SIR ABC 100 G BELJE ZVIJEZDA;021477;ABC NAMAZ;0,100 KG;KOM;1,35;13,50;;;1,35;3859888858008;HRANA;
TJESTENINA ELICHE 500 G  RISCOSSA VRECICA;021488;RISCOSSA;0,500 KG;KOM;1,19;2,38;;;1,19;8011780009482;HRANA;
GULAS GOVEDJI 300 G PODRAVKA;021501;PODRAVKA PASTETE I MESNE KONZERVE;0,300 KG;KOM;3,99;13,30;;;3,49;3850104020032;HRANA;
GULAS GOVEDJI 200 G PODRAVKA;021502;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,63;13,15;;;2,99;3850104020018;HRANA;
GULAS GOVEDJI 400 G PODRAVKA;021503;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;5,19;12,98;;;4,49;3850104020087;HRANA;
MESNI DORUCAK 150 G GAVRILOVIC;021504;GAVRILOVIC;0,150 KG;KOM;2,15;14,33;;;2,15;3858881220010;HRANA;
RAGU MESNI 200 G PODRAVKA;021505;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;1,99;9,95;;;2,49;3850104020308;HRANA;
RAGU SA SAMPINJONIMA 200 G PODRAVKA 30/1;021506;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;1,99;9,95;;;2,49;3850104022661;HRANA;
MESNI RAGU BOLOGNESE 200 G;021507;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;1,99;9,95;;;2,49;3850104022401;HRANA;
HASE 200 G PODRAVKA;021511;PODRAVKA PASTETE I MESNE KONZERVE;0,200 KG;KOM;2,49;12,45;;;2,49;3850104020353;HRANA;
GRAH SA KOBASICAMA 400 G PODRAVKA;021513;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;2,79;6,98;;;3,49;3850104035739;HRANA;
GRAH SA HAMBURGEROM 400 G PODRAVKA;021514;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;3,49;8,73;;;3,49;3850104035746;HRANA;
FILEKI 400 G PODRAVKA;021581;PODRAVKA PASTETE I MESNE KONZERVE;0,400 KG;KOM;3,19;7,98;;;3,99;3850104050848;HRANA;
TUNA MASLINOVO ULJE 2X160 G RIO MARE;021648;RIO MARE;0,208 KG;KOM;6,99;33,61;;;8,79;8004030381681;HRANA;
GRAH SMEDJI 400 G PODRAVKA LIMENKA;021672;PODRAVKA KONZERVIRANO;0,230 KG;KOM;1,39;6,04;;;1,39;3850104024870;HRANA;
GRAH SMEDJI 800 G PODRAVKA LIMENKA;021673;PODRAVKA KONZERVIRANO;0,460 KG;KOM;2,19;4,76;;;2,19;3850104025389;HRANA;
TUNA U MASLINOVOM ULJU 4X80 G RIO MARE;021686;RIO MARE;0,208 KG;KOM;;23,99;4,99;4,99;7,69;8004030005051;HRANA;
RIO MARE PATE TUNA 100 G BOLTON;021687;RIO MARE;0,100 KG;KOM;3,59;35,90;;;3,59;8004030069008;HRANA;
RIO MARE PATE LOSOS 100 G BOLTON;021689;RIO MARE;0,100 KG;KOM;3,59;35,90;;;3,59;8004030070004;HRANA;
MLIJEKO 2.8% 1 L BC VINDIJA;021701;VINDIJA-Z'BREGOV;1 L;KOM;1,02;1,02;;;1,02;3850108020007;HRANA;
MLIJEKO 2,8% 0,5 L VINDIJA;021702;VINDIJA-Z'BREGOV;0,500 L;KOM;,99;1,98;;;1,09;3850108020557;HRANA;
MLIJEKO KOZJE 200 ML VINDIJA;021703;VINDIJA-Z'BREGOV;0,200 L;KOM;,99;4,95;;;,99;3850108026009;HRANA;
MLIJEKO 2.8% 200 ML VINDIJA;021704;VINDIJA-Z'BREGOV;0,200 L;KOM;,59;2,95;;;,59;3850108020052;HRANA;
MLIJEKO COKOLADNO 1 L VINDIJA;021729;VINDIJA-Z'BREGOV;1 L;KOM;2,29;2,29;;;2,29;3850108023305;HRANA;
MLIJEKO COKOLADNO 0,5 L VINDIJA;021730;VINDIJA-Z'BREGOV;0,500 L;KOM;1,59;3,18;;;1,59;3850108023350;HRANA;
MLIJEKO COKOLADNO DISNEY 200 ML VINDIJA;021731;VINDIJA-Z'BREGOV;0,200 L;KOM;,99;4,95;;;,99;3850108023077;HRANA;
MLIJEKO KOZJE 2,8% 0,5 L VINDIJA;021732;VINDIJA-Z'BREGOV;0,500 L;KOM;1,59;3,18;;;1,59;3850108026603;HRANA;
MLIJEKO ALPSKO 1,5% 1 L LJ_MLEK;021739;DUKAT-ALPSKO;1 L;KOM;1,59;1,59;;;1,79;3838800024967;HRANA;
SVJEZE MLIJEKO 3.2% 1 L TB VINDIJA;021746;VINDIJA-Z'BREGOV;1 L;KOM;1,39;1,39;;;1,39;3850108011517;HRANA;
MLIJEKO 0.9% 1 L CEP VINDIJA;021765;VINDIJA-Z'BREGOV;1 L;KOM;1,49;1,49;;;1,49;3850108021592;HRANA;
MLIJEKO COKOLADNO 0,5 L DUKAT EDGE;021773;DUKAT;0,500 L;KOM;1,69;3,38;;;1,69;3850354017608;HRANA;
LEDENA KAVA 1 L VINDIJA;021776;VINDIJA-Z'BREGOV;1 L;KOM;2,69;2,69;;;2,69;3850108021820;HRANA;
JOGURT TEKUCI 2,8% 180 G DUKAT;021789;DUKAT;0,180 KG;KOM;,44;2,44;;;,44;3850354000921;HRANA;
NAPITAK SOJINO MLIJEKO 1 L S KALCIJEM;021793;ALPRO;1 L;KOM;2,99;2,99;;;2,99;5411188543381;HRANA;
LIGNJE PATAGONICA CIJELA 500 G LEDO 071325;021809;LEDO RIBA;0,500 KG;KOM;7,99;15,98;;;7,99;3850116713250;HRANA;
TUNA NATURA 4X80 G RIO MARE;021850;RIO MARE;0,224 KG;KOM;;22,28;4,99;4,99;8,49;8004030344570;HRANA;
ODRESCI SOJA ZAM 400 G O'PLANT;021872;PODRAVKA VEGE;0,400 KG;KOM;2,49;6,23;;;2,59;3856020261962;HRANA;
TARTUFATA 80 G ZIGANTE STAKLO;021891;ZIGANTE KONZERVIRANO;0,080 KG;KOM;10,59;132,38;;;10,59;3859889179201;HRANA;
ODRESCI POVRCE ZAM 400 G O'PLANT;021905;PODRAVKA VEGE;0,400 KG;KOM;3,19;7,98;;;3,39;3856020262020;HRANA;
MAHUNA ZELENA 400 G LEDO;021909;LEDO POVRCE;0,400 KG;KOM;1,6;4,00;;;1,6;3850116053196;HRANA;
GRASAK+MRKVA 400 G LEDO;021918;LEDO POVRCE;0,400 KG;KOM;1,99;4,98;;;1,99;3850116053370;HRANA;
POVRCE ZA JUHU 400 G LEDO;021919;LEDO POVRCE;0,400 KG;KOM;2,29;5,73;;;2,29;3850116053462;HRANA;
MSC PANIRANI RIBLJI STAPICI 300 G LEDO;021921;LEDO RIBA;0,300 KG;KOM;3;10,00;;;3;3850116066486;HRANA;
MAHUNA ZUTA 400 G LEDO;021956;LEDO POVRCE;0,400 KG;KOM;1,6;4,00;;;1,6;3850116053226;HRANA;
SIR CAMEMBERT 250 G VINDIJA;022007;VINDIJA-VINDIJA SIREVI;0,250 KG;KOM;4,99;19,96;;;4,99;3850108051902;HRANA;
SIR SVJEZI POLUMASNI 500 G VINDIJA;022036;VINDIJA-Z'BREGOV;0,500 KG;KOM;2,49;4,98;;;2,49;3850108058352;HRANA;
NAMAZ MLIJECNI CLASSIC 70 G VINDIJA;022086;VINDIJA-Z'BREGOV;0,070 KG;KOM;,55;7,86;;;,79;3850108059113;HRANA;
MASLAC 250 G DUKAT;022101;DUKAT;0,250 KG;KOM;2,99;11,96;;;2,99;3850355000999;HRANA;
MASLAC 250 G ZDENKA;022107;ZDENKA;0,250 KG;KOM;3,29;13,16;;;3,29;3858888590345;HRANA;
MASLAC 250 G MEGGLE;022121;MEGGLE;0,250 KG;KOM;3,99;15,96;;;3,99;4034900004932;HRANA;
VRHNJE ZA KUHANJE 500 ML VINDIJA;022136;VINDIJA-Z'BREGOV;0,500 L;KOM;3,29;6,58;;;3,29;3850108033571;HRANA;
SIR BAYERNTALER 200 G ZOTT STANIC;022143;ZOTT;0,200 KG;KOM;3,05;15,25;;;3,05;4014500505459;HRANA;
VRHNJE ZA KUHANJE 200 ML VINDIJA;022148;VINDIJA-Z'BREGOV;0,200 L;KOM;,99;4,95;;;1,59;3850108033588;HRANA;
POLIKO 250 G NAREZAK VINDIJA;022151;VINDIJA CEKIN PRERADA;0,250 KG;KOM;2,49;9,96;;;2,49;3850159122019;HRANA;
MARGARIN STOLNI 250 G ZVIJEZDA;022201;ZVIJEZDA MARGARIN;0,250 KG;KOM;1,15;4,60;;;,99;3858882210102;HRANA;
MARGARIN STOLNI 500 G ZVIJEZDA;022206;ZVIJEZDA MARGARIN;0,500 KG;KOM;1,99;3,98;;;1,85;3858882210553;HRANA;
MARGARIN ZA KREME 250 G ZVIJEZDA;022216;ZVIJEZDA MARGARIN;0,250 KG;KOM;1,15;4,60;;;1,05;3858882211611;HRANA;
MAJONEZA DELIKATES 85 G VRECICA ZVIJEZDA;022301;ZVIJEZDA MAJONEZA;0,085 KG;KOM;,75;8,82;;;1,09;3856015325228;HRANA;
MAJONEZA DELIKATES 165 G TUBA ZVIJEZDA;022303;ZVIJEZDA MAJONEZA;0,165 KG;KOM;2,49;15,09;;;2,29;3858882210263;HRANA;
MAJONEZA THOMY 80 G VRECICA NESTLE;022307;NESTLE MAJONEZE;0,080 KG;KOM;,99;12,38;;;1,15;7613287192561;HRANA;
MAJONEZA THOMY 165 G TUBA NESTLE;022311;NESTLE MAJONEZE;0,165 KG;KOM;2,15;13,03;;;2,49;7613287084606;HRANA;
MAJONEZA THOMY KETCHUP 190 G TUBA NESTLE;022313;NESTLE MAJONEZE;0,190 KG;KOM;2,49;13,11;;;2,49;7613287146694;HRANA;
MAJONEZA LIGHT 95 G VRECICA ZVIJEZDA;022315;ZVIJEZDA MAJONEZA;0,095 KG;KOM;1,19;12,53;;;1,09;3858882210324;HRANA;
TARTAR UMAK THOMY 180 G TUBA NESTLE;022353;NESTLE MAJONEZE;0,180 KG;KOM;2,49;13,83;;;2,49;7613287084149;HRANA;
SIR RIBANAC 40 G PRESIDENT DUKAT;022368;DUKAT-PRESIDENT;0,040 KG;KOM;1,49;37,25;;;1,49;3850355007608;HRANA;
B AKTIV JOGURT 150 G;022369;DUKAT-B.AKTIV;0,150 KG;KOM;,79;5,27;;;,69;3850354019121;HRANA;
OBR.MLIJEKO U PRAHU 1% 1 KG DUKAT;022372;DUKAT;1 KG;KOM;8,99;8,99;;;8,49;3850355001132;HRANA;
MAJONEZA LIGHT 620 G STAKLO ZVIJEZDA;022397;ZVIJEZDA MAJONEZA;0,620 KG;KOM;5,29;8,53;;;4,99;3856015321909;HRANA;
MAJONEZA DELIKATES 620 G STAKLO ZVIJEZDA;022399;ZVIJEZDA MAJONEZA;0,630 KG;KOM;5,29;8,40;;;4,99;3856015321879;HRANA;
SENF ESTRAGON 140 G PODRAVKA STAKLO;022408;PODRAVKA KONZERVIRANO;0,140 KG;KOM;1,89;13,50;;;1,79;3850104023033;HRANA;
SENF CASA 265 G  JUTRO;022427;VM2 PREHRANA;0,265 KG;KOM;2,19;8,26;;;2,39;4025891003257;HRANA;
SENF ESTRAGON 350 G PODRAVKA STAKLO;022442;PODRAVKA KONZERVIRANO;0,350 KG;KOM;2,49;7,11;;;2,49;3850104023484;HRANA;
SENF BLAGI THOMY 200 G TUBA;022454;NESLE THOMY KONZERVIRANO;0,200 KG;KOM;2,29;11,45;;;2,29;7613287084163;HRANA;
SENF ESTRAGON 200 G PODRAVKA STAKLO;022518;PODRAVKA KONZERVIRANO;0,200 KG;KOM;2,19;10,95;;;2,19;3850104092176;HRANA;
UMAK MEXICO 250 ML KUHNE;022519;CARL KUHNE;0,250 L;KOM;2,92;11,68;;;2,92;40804934;HRANA;
HALTA PREHRA.PRIPRAV ZA KUHANJE NA BILJNOJ BAZI 500 ML POHIT;022527;HALTA;0,500 L;KOM;2,09;4,18;;;1,99;8004172000495;HRANA;
SKUSA FILETI U BILJNOM ULJU 125 G;022638;DELAMARIS KONZERVIRANO;0,081 KG;KOM;4,19;51,57;;;3,49;3838929567444;HRANA;
SKUSA IZOLA S POVRCEM 125 G DELAMARIS;022639;DELAMARIS KONZERVIRANO;0,051 KG;KOM;2,69;52,49;;;2,35;3838929567802;HRANA;
SKUSA WEEKEND 125 G DELAMARIS;022646;DELAMARIS KONZERVIRANO;0,050 KG;KOM;2,69;53,80;;;2,89;3838929567727;HRANA;
JOGURT TEKUCI 2.8% 200 G VINDIJA;022731;VINDIJA-Z'BREGOV;0,200 KG;KOM;,49;2,45;;;,49;3850108030020;HRANA;
DUKATELA POVRCE 70 G DUKAT;022733;DUKAT-DUKATELA;0,070 KG;KOM;,95;13,57;;;,89;3850354015079;HRANA;
MASLAC 20 G DUKAT;022757;DUKAT;0,020 KG;KOM;,49;24,50;;;,49;3850355004164;HRANA;
Z BREGOV EUFORIJA STRACCIATELLA 150 G VINDIJA;022769;VINDIJA-Z'BREGOV;0,150 KG;KOM;;6,33;,95;,95;,95;3850108037630;HRANA;
VRHNJE ZA KUHANJE 500 G DUKAT;022788;DUKAT-BRZO I FINO;0,500 KG;KOM;3,49;6,98;;;3,39;3850354017158;HRANA;
SIR MOZZARELLA 125 G GRANAROLO;022796;GRANAROLO;0,125 KG;KOM;1,49;11,92;;;1,49;8002670004205;HRANA;
SLAG SPRAY 250 ML DUKAT;022797;DUKAT-BRZO I FINO;0,250 L;KOM;3,99;15,96;;;3,49;3850354018247;HRANA;
MASCARPONE 250 G GRANAROLO;022817;GRANAROLO;0,250 KG;KOM;2,79;11,16;;;2,69;8002670002010;HRANA;
NAMAZ SIRNI MIX 200 G (LIPTAUER/PROVENCE) VINDIJA;022826;VINDIJA-Z'BREGOV;0,200 KG;KOM;1,89;9,45;;;1,89;3850108059069;HRANA;
KISELO VRHNJE 12% 200 G VINDIJA;022827;VINDIJA-Z'BREGOV;0,200 KG;KOM;,94;4,70;;;,99;3850108033007;HRANA;
NAMAZ SIRNI CLASSIC 200 G VINDIJA;022843;VINDIJA-Z'BREGOV;0,200 KG;KOM;1,89;9,45;;;1,89;3850108059076;HRANA;
NAMAZ SIRNI CLASSIC 70 G VINDIJA;022849;VINDIJA-Z'BREGOV;0,070 KG;KOM;,79;11,29;;;,79;3850108059205;HRANA;
Z BREGOV VOCNI MIX 400 G VINDIJA;022854;VINDIJA-Z'BREGOV;0,400 KG;KOM;1,49;3,73;;;1,59;3850108037975;HRANA;
KISELO VRHNJE 20% 200 G VINDIJA;022860;VINDIJA-Z'BREGOV;0,200 KG;KOM;1,29;6,45;;;1,19;3850108033106;HRANA;
MONTE 4X55 G ZOTT STANIC;022868;ZOTT;0,220 KG;KOM;1,89;8,59;;;1,85;40145631;HRANA;
VRHNJE ZA KAVU 10X7,5 G MEGGLE;022888;MEGGLE;0,075 KG;KOM;,85;11,33;;;,89;40349916;HRANA;
VRHNJE ZA KAVU 10X10 G ZOTT STANIC;022892;ZOTT;0,100 KG;KOM;,65;6,50;;;,65;40145037;HRANA;
PASTETA CAJNA 95 G ARGETA;022989;ATLANTIC ARGETA;0,095 KG;KOM;1,49;15,68;;;1,39;3838471024365;HRANA;
POMMES FRITES 1 KG LEDO 066066;023054;LEDO POVRCE;1 KG;KOM;3,99;3,99;;;4,29;3850116677477;HRANA;
PASTETA PILECA 95 G PODRAVKA;023245;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;1,33;14,00;;;1,33;3858886469179;HRANA;
PASTETA PILECA PIKETA 95 G AL PODRAVKA;023248;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;1,19;12,53;;;1,19;3850104277856;HRANA;
PASTETA JETRENA 95 G PODRAVKA;023250;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;1,33;14,00;;;1,33;3858886469230;HRANA;
PASTETA CAJNA PIKETA AL 95 G PODRAVKA;023251;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;,9;9,47;;;,9;3850104277788;HRANA;
PASTETA JETRENA PIKETA AL 95 G PODRAVKA;023252;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;1,19;12,53;;;1,19;3850104277795;HRANA;
PASTETA OD TUNE SICILIANA 95 G ARGETA;023255;ATLANTIC ARGETA;0,095 KG;KOM;1,99;20,95;;;1,99;3838471015868;HRANA;
UMAK HOT CHILLI 250 ML KUHNE;023423;CARL KUHNE;0,250 L;KOM;2,79;11,16;;;2,79;40804835;HRANA;
UMAK STEAK 250 ML CARL KUHNE;023424;CARL KUHNE;0,250 L;KOM;2,92;11,68;;;2,92;40804927;HRANA;
PASTETA JETRENA U TUBI 150 G GAVRILOVIC;023452;GAVRILOVIC;0,150 KG;KOM;2,49;16,60;;;2,49;3858881226562;HRANA;
PASTETA CAJNA U TUBI 150 G GAVRILOVIC;023453;GAVRILOVIC;0,150 KG;KOM;2,49;16,60;;;2,49;3858881226579;HRANA;
PILECA PIKANT PASTETA 95 G PODRAVKA;023459;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;,99;10,42;;;,99;3858886469261;HRANA;
MESNI NAREZAK 150 G GAVRILOVIC;023462;GAVRILOVIC;0,150 KG;KOM;1,99;13,27;;;1,99;3858890203349;HRANA;
ARGETA SARDINA 95 G ATLANTIC;023465;ATLANTIC ARGETA;0,095 KG;KOM;1,49;15,68;;;1,39;3838471029919;HRANA;
PASTETA CAJNA 95 G PODRAVKA;023469;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;1,33;14,00;;;1,33;3858886469209;HRANA;
MESNI NAREZAK 100 G GUSTI PPK;023470;GUSTI;0,100 KG;KOM;;7,90;,79;,69;,79;3858881613126;HRANA;
PASTETA KOKOSJA SLAVONSKA 95 G ARGETA;023509;ATLANTIC ARGETA;0,095 KG;KOM;1,49;15,68;;;1,39;3838471031394;HRANA;
SUNKA MANDOLINA 340 G GAVRILOVIC;023523;GAVRILOVIC;0,340 KG;KOM;6,39;18,79;;;6,49;3858890209679;HRANA;
PASTETA JUNIOR KOKOKREM 95 G ARGETA;023530;ATLANTIC ARGETA;0,095 KG;KOM;1,49;15,68;;;1,39;3838471034685;HRANA;
GRAH S KOBASICOM 400 G CARNEX ALCA;023532;CARNEX;0,400 KG;KOM;3,99;9,98;;;3,69;8600012700299;HRANA;
PUNJENA PAPRIKA 400 G CARNEX ALCA;023534;CARNEX;0,400 KG;KOM;3,99;9,98;;;3,69;8600012700428;HRANA;
GOVEDJI GULAS 300 G GAVRILOVIC;023550;GAVRILOVIC;0,300 KG;KOM;3,99;13,30;;;3,99;3858892720912;HRANA;
FILEKI 300 G GAVRILOVIC;023551;GAVRILOVIC;0,300 KG;KOM;3,49;11,63;;;3,59;3858892720936;HRANA;
GRAH S KOBASICOM 300 G GAVRILOVIC;023552;GAVRILOVIC;0,300 KG;KOM;3,49;11,63;;;3,59;3858892720950;HRANA;
GRAH S DIMLJENOM SLANINOM 300 G GAVRILOVIC;023553;GAVRILOVIC;0,300 KG;KOM;3,59;11,97;;;3,59;3858892720974;HRANA;
GRAH S DIMLJENIM SVINJSKIM REBRIMA 300 G GAVRILOVIC;023554;GAVRILOVIC;0,300 KG;KOM;3,49;11,63;;;3,59;3858892721018;HRANA;
SVINJSKI PAPRIKAS 300 G GAVRILOVIC;023555;GAVRILOVIC;0,300 KG;KOM;3,49;11,63;;;3,59;3858892721032;HRANA;
MESNE OKRUGLICE U UMAKU OD RAJCICE 300 G GAVRILOVIC;023556;GAVRILOVIC;0,300 KG;KOM;3,49;11,63;;;3,59;3858892721056;HRANA;
POSNI GRAH 300 G GAVRILOVIC;023557;GAVRILOVIC;0,300 KG;KOM;3,15;10,50;;;3,15;3858892721070;HRANA;
RIO MARE PATE TUNA I RAJCICE 100 G BOLTON;023559;RIO MARE;0,100 KG;KOM;3,59;35,90;;;3,59;8004030538047;HRANA;
PILECA JETRENA PASTETA 95 G PODRAVKA;023562;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;1,33;14,00;;;1,33;3856020224592;HRANA;
TUNINA PASTETA 95 G DELAMARIS;023565;DELAMARIS RIBLJE PASTETE;0,095 KG;KOM;1,99;20,95;;;1,86;3838929551023;HRANA;
TURISTICKA PASTETA 95 G DELAMARIS;023567;DELAMARIS RIBLJE PASTETE;0,095 KG;KOM;1,99;20,95;;;1,86;3838929551009;HRANA;
PASTETA ART TUNA 100 G GAVRILOVIC;023568;GAVRILOVIC ART;0,100 KG;KOM;1,85;18,50;;;1,89;3858890207620;HRANA;
PASTETA ART PILECA ROASTY 100 G GAVRILOVIC;023572;GAVRILOVIC ART;0,100 KG;KOM;1,35;13,50;;;1,35;3858890207767;HRANA;
PASTETA ART PILECA CLASSIC 100 G GAVRILOVIC;023573;GAVRILOVIC ART;0,100 KG;KOM;1,39;13,90;;;1,39;3858890207743;HRANA;
PASTETA ART KOKOSJA CAJNA100 G GAVRILOVIC;023574;GAVRILOVIC ART;0,100 KG;KOM;1,19;11,90;;;1,19;3858890207705;HRANA;
PASTETA ART KOKOSJA JETRENA 100 G GAVRILOVIC;023575;GAVRILOVIC ART;0,100 KG;KOM;1,19;11,90;;;1,19;3858890207644;HRANA;
PASTETA ART KOKOSJA CLASSIC 100 G GAVRILOVIC;023576;GAVRILOVIC ART;0,100 KG;KOM;1,35;13,50;;;1,39;3858890207682;HRANA;
LOSOS PASTETA 95 G DELAMARIS;023577;DELAMARIS RIBLJE PASTETE;0,095 KG;KOM;1,99;20,95;;;1,86;3838929551047;HRANA;
JETRENA PASTETA 4X100 G PPK;023582;PPK;0,400 KG;KOM;2,52;6,30;;;2,52;3858881616240;HRANA;
PASTETA ART TUNA 150 G GAVRILOVIC;023583;GAVRILOVIC ART;0,150 KG;KOM;3,29;21,93;;;3,29;3858890207606;HRANA;
PASTETA ART PILECA CLASSIC 150 G GAVRILOVIC;023585;GAVRILOVIC ART;0,150 KG;KOM;2,39;15,93;;;2,39;3858890207729;HRANA;
EVA TUNA PASTETA SUSENA RAJCICA 95 G PODRAVKA;023602;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;;12,53;1,19;1,19;1,72;3856020256203;HRANA;
LINO PILECA PASTETA CREAM 50 G PODRAVKA;023606;PODRAVKA PASTETE I MESNE KONZERVE;0,050 KG;KOM;,89;17,80;;;,89;3856020259426;HRANA;
GUSTI MESNI NAREZ 150 G GAVRILOVIC;023608;GUSTI;0,150 KG;KOM;1,19;7,93;;;1,19;3858892724071;HRANA;
GUSTI JETRENA PASTETA 100 G GAVRILOVIC;023609;GUSTI;0,100 KG;KOM;,95;9,50;;;,95;3858892724057;HRANA;
GUSTI CAJNA PASTETA 100 G GAVRILOVIC;023610;GUSTI;0,100 KG;KOM;,79;7,90;;;,79;3858892724033;HRANA;
PASTETA KOKOSJA 75 G GUSTI PPK;023611;GUSTI;0,075 KG;KOM;,49;6,53;;;,49;3858890185584;HRANA;
KOKOSJA PASTETA GOLD 95 G PODRAVKA;023629;PODRAVKA PASTETE I MESNE KONZERVE;0,095 KG;KOM;1,29;13,58;;;1,39;3856020263720;HRANA;
PASTETA TUNA LIMUN TIMIJAN 95 G ARGETA;023631;ATLANTIC ARGETA;0,095 KG;KOM;1,99;20,95;;;1,99;3838471052313;HRANA;
MESNI NAMAZ TARTUF 90 G JEAN LARNAUDIE;023632;LARNAUDIE;0,095 KG;KOM;;26,21;2,49;3,89;3,89;3113010155268;HRANA;
MESNI NAMAZ PIQUILLOS I CHORIZO 90 G JEAN LARNAUDIE;023633;LARNAUDIE;0,090 KG;KOM;;29,89;2,69;3,89;3,89;3113010155251;HRANA;
PASTETA PILECA ROASTY 30 G GAVRILOVIC;023641;GAVRILOVIC;0,030 KG;KOM;,49;16,33;;;,49;3858892722411;HRANA;
PASTETA PILECA CLASSIC 30 G GAVRILOVIC;023642;GAVRILOVIC;0,030 KG;KOM;,49;16,33;;;,49;3858892722435;HRANA;
PASTETA KOKOSJA CLASSIC 30 G GAVRILOVIC;023643;GAVRILOVIC;0,030 KG;KOM;,49;16,33;;;,49;3858892722459;HRANA;
